Player,Year,Share,Pts Won,Pts Max
Bill Russell,1957,0.025,2.0,80
Bill Russell,1958,0.57,228.0,400
Bill Russell,1959,0.351,144.0,410
Wilt Chamberlain,1960,0.684,270.0,395
Bill Russell,1960,0.471,186.0,395
Bill Russell,1961,0.561,213.0,380
Wilt Chamberlain,1961,0.213,81.0,380
Bill Russell,1962,0.699,297.0,425
Wilt Chamberlain,1962,0.358,152.0,425
Bill Russell,1963,0.675,341.0,505
Wilt Chamberlain,1963,0.018,9.0,505
Wilt Chamberlain,1964,0.448,215.0,480
Bill Russell,1964,0.348,167.0,480
Bill Russell,1965,0.535,53.0,99
Wilt Chamberlain,1965,0.01,1.0,99
Wilt Chamberlain,1966,0.678,181.0,267
Bill Russell,1966,0.258,69.0,267
Wilt Chamberlain,1967,0.822,444.0,540
Bill Russell,1967,0.178,96.0,540
Wilt Chamberlain,1968,0.725,504.0,695
Bill Russell,1969,0.181,93.0,515
Kareem Abdul-Jabbar,1970,0.432,335.0,775
Kareem Abdul-Jabbar,1971,0.895,698.0,780
Kareem Abdul-Jabbar,1972,0.646,581.0,900
Wilt Chamberlain,1972,0.327,294.0,900
Kareem Abdul-Jabbar,1973,0.387,339.0,875
Wilt Chamberlain,1973,0.141,123.0,875
Kareem Abdul-Jabbar,1974,0.583,528.0,905
Kareem Abdul-Jabbar,1975,0.167,161.0,965
Kareem Abdul-Jabbar,1976,0.442,409.0,925
Kareem Abdul-Jabbar,1977,0.644,159.0,247
Kareem Abdul-Jabbar,1978,0.059,14.0,238
Kareem Abdul-Jabbar,1979,0.067,15.0,223
Kareem Abdul-Jabbar,1980,0.665,147.0,221
Kareem Abdul-Jabbar,1981,0.414,286.0,690
Magic Johnson,1981,0.026,18.0,690
Magic Johnson,1982,0.097,67.0,690
Kareem Abdul-Jabbar,1982,0.045,31.0,690
Magic Johnson,1983,0.406,304.5,750
Kareem Abdul-Jabbar,1983,0.02,15.0,750
Magic Johnson,1984,0.401,305.0,760
Kareem Abdul-Jabbar,1984,0.201,153.0,760
Magic Johnson,1985,0.338,264.0,780
Kareem Abdul-Jabbar,1985,0.264,206.0,780
Michael Jordan,1985,0.172,134.0,780
Magic Johnson,1986,0.263,205.0,780
Kareem Abdul-Jabbar,1986,0.173,135.0,780
Magic Johnson,1987,0.94,733.0,780
Michael Jordan,1987,0.576,449.0,780
Michael Jordan,1988,0.831,665.0,800
Magic Johnson,1988,0.635,508.0,800
Magic Johnson,1989,0.782,664.5,850
Michael Jordan,1989,0.704,598.8,850
Magic Johnson,1990,0.691,636.0,920
Michael Jordan,1990,0.613,564.0,920
Michael Jordan,1991,0.928,891.0,960
Magic Johnson,1991,0.518,497.0,960
Michael Jordan,1992,0.938,900.0,960
Michael Jordan,1993,0.577,565.0,980
Shaquille O'Neal,1993,0.031,30.0,980
Shaquille O'Neal,1994,0.286,289.0,1010
Shaquille O'Neal,1995,0.576,605.0,1050
Michael Jordan,1995,0.011,12.0,1050
Michael Jordan,1996,0.986,1114.0,1130
Shaquille O'Neal,1996,0.056,63.0,1130
Magic Johnson,1996,0.007,8.0,1130
Michael Jordan,1997,0.832,957.0,1150
Shaquille O'Neal,1997,0.006,7.0,1150
Michael Jordan,1998,0.934,1084.0,1160
Shaquille O'Neal,1998,0.268,311.0,1160
Shaquille O'Neal,1999,0.075,89.0,1180
Shaquille O'Neal,2000,0.998,1207.0,1210
Kobe Bryant,2000,0.002,3.0,1210
Shaquille O'Neal,2001,0.466,578.0,1240
Kobe Bryant,2001,0.009,11.0,1240
Shaquille O'Neal,2002,0.552,696.0,1260
Kobe Bryant,2002,0.078,98.0,1260
Michael Jordan,2002,0.013,16.0,1260
Kobe Bryant,2003,0.417,496.0,1190
Shaquille O'Neal,2003,0.106,126.0,1190
Kobe Bryant,2004,0.172,212.0,1230
Shaquille O'Neal,2004,0.145,178.0,1230
LeBron James,2004,0.009,11.0,1230
Shaquille O'Neal,2005,0.813,1032.0,1270
LeBron James,2005,0.073,93.0,1270
LeBron James,2006,0.55,688.0,1250
Kobe Bryant,2006,0.386,483.0,1250
Kobe Bryant,2007,0.404,521.0,1290
LeBron James,2007,0.142,183.0,1290
Shaquille O'Neal,2007,0.002,3.0,1290
Kobe Bryant,2008,0.873,1100.0,1260
LeBron James,2008,0.348,438.0,1260
LeBron James,2009,0.969,1172.0,1210
Kobe Bryant,2009,0.577,698.0,1210
LeBron James,2010,0.98,1205.0,1230
Kobe Bryant,2010,0.487,599.0,1230
LeBron James,2011,0.431,522.0,1210
Kobe Bryant,2011,0.354,428.0,1210
LeBron James,2012,0.888,1074.0,1210
Kobe Bryant,2012,0.291,352.0,1210
LeBron James,2013,0.998,1207.0,1210
Kobe Bryant,2013,0.152,184.0,1210
Stephen Curry,2013,0.002,3.0,1210
LeBron James,2014,0.713,891.0,1250
Stephen Curry,2014,0.053,66.0,1250
Stephen Curry,2015,0.922,1198.0,1300
LeBron James,2015,0.425,552.0,1300
Stephen Curry,2016,1.0,1310.0,1310
LeBron James,2016,0.482,631.0,1310
LeBron James,2017,0.33,333.0,1010
Stephen Curry,2017,0.051,52.0,1010
LeBron James,2018,0.731,738.0,1010
Stephen Curry,2018,0.005,5.0,1010
Stephen Curry,2019,0.173,175.0,1010
LeBron James,2019,0.001,1.0,1010
LeBron James,2020,0.746,753.0,1010
Stephen Curry,2021,0.449,453.0,1010
LeBron James,2021,0.001,1.0,1010
Stephen Curry,2022,0.004,4.0,1000
LeBron James,2022,0.001,1.0,1000
Stephen Curry,2023,0.005,5.0,1000
